num_personas,num_vehiculos,num_motocicleta,num_bicis,num_camiones,num_autobuses,num_peatones,num_pasajeros,num_hombres,num_mujeres,max_lesividad,coord_x,coord_y,distrito,droga_alcohol,tiempo_desfavorable,noche
2,1,1,0,0,0,0,2,2,0,1,440875.0,4474491.0,CENTRO,0,0,1
1,1,0,0,0,0,0,1,1,0,0,441839.0,4477278.0,CHAMARTÍN,0,1,1
1,1,0,0,0,0,0,1,1,0,0,439525.0,4478786.0,MONCLOA-ARAVACA,0,0,1
4,4,0,0,0,0,0,4,3,1,0,440196.0,4481471.0,FUENCARRAL-EL PARDO,0,1,1
1,0,0,0,1,0,0,1,1,0,0,440645.0,4474018.0,CENTRO,0,0,0
1,1,0,0,0,0,0,1,1,0,0,439847.0,4466350.0,VILLAVERDE,0,0,0
2,2,0,0,0,0,0,2,2,0,0,442586.0,4476547.0,SALAMANCA,0,0,0
2,1,1,0,0,0,0,2,2,0,0,441032.0,4474986.0,CENTRO,0,0,0
2,1,1,0,0,0,0,2,1,1,2,443879.0,4475896.0,SALAMANCA,0,0,0
4,3,0,0,1,0,0,4,3,1,0,440551.0,4474001.0,CENTRO,0,0,0
2,2,0,0,0,0,1,1,0,2,2,442611.0,4478833.0,CHAMARTÍN,0,0,0
4,4,0,0,0,0,0,4,1,3,2,448591.0,4482446.0,HORTALEZA,0,0,0
2,0,2,0,0,0,0,2,1,1,2,444081.0,4475050.0,SALAMANCA,0,1,0
2,2,0,0,0,0,0,2,1,1,1,440886.0,4477563.0,TETUÁN,0,0,0
2,2,0,0,0,0,1,1,2,0,2,443449.0,4470733.0,PUENTE DE VALLECAS,0,0,0
1,1,0,0,0,0,0,1,1,0,0,448212.0,4474335.0,SAN BLAS-CANILLEJAS,0,0,0
2,1,1,0,0,0,0,2,1,1,2,439908.0,4474675.0,CENTRO,0,0,0
2,1,1,0,0,0,0,2,1,1,1,442257.0,4467246.0,VILLAVERDE,0,0,0
2,1,0,1,0,0,0,2,2,0,1,443762.0,4467923.0,VILLA DE VALLECAS,0,0,0
4,2,2,0,0,0,0,4,2,2,0,442026.0,4476086.0,SALAMANCA,0,0,0
3,3,0,0,0,0,0,3,2,1,0,444573.0,4470585.0,PUENTE DE VALLECAS,0,0,0
4,4,0,0,0,0,0,4,4,0,2,441857.0,4477402.0,CHAMARTÍN,0,0,0
3,3,0,0,0,0,0,3,0,3,2,438802.0,4469491.0,CARABANCHEL,0,0,0
1,1,0,0,0,0,0,1,1,0,0,440927.0,4465298.0,VILLAVERDE,0,0,0
3,1,2,0,0,0,0,3,1,2,0,443261.0,4475093.0,SALAMANCA,0,0,0
2,2,0,0,0,0,0,2,1,1,0,440893.0,4474343.0,CENTRO,0,0,0
2,2,0,0,0,0,0,2,1,1,0,448276.0,4482495.0,HORTALEZA,0,0,0
2,1,1,0,0,0,0,2,2,0,0,439873.0,4475929.0,CHAMBERÍ,0,0,0
3,3,0,0,0,0,0,3,1,2,2,447918.0,4467921.0,VILLA DE VALLECAS,0,0,0
2,2,0,0,0,0,1,1,1,1,2,449042.0,4468912.0,VILLA DE VALLECAS,0,0,0
6,6,0,0,0,0,0,6,2,4,0,440650.0,4481669.0,FUENCARRAL-EL PARDO,0,0,0
2,1,1,0,0,0,0,2,1,1,0,440262.0,4474630.0,CENTRO,0,0,0
3,3,0,0,0,0,0,3,3,0,0,442727.0,4471682.0,RETIRO,0,0,0
3,3,0,0,0,0,0,3,2,1,0,442696.0,4479475.0,CHAMARTÍN,0,0,0
1,1,0,0,0,0,0,1,1,0,0,443608.0,4474617.0,SALAMANCA,0,0,0
3,3,0,0,0,0,0,3,0,3,0,449981.0,4477375.0,SAN BLAS-CANILLEJAS,0,0,0
3,3,0,0,0,0,0,3,2,1,0,442278.0,4476835.0,CHAMARTÍN,0,0,1
1,0,0,0,0,1,0,1,1,0,0,440070.0,4474640.0,CENTRO,0,0,1
6,6,0,0,0,0,0,6,3,3,0,441036.0,4477828.0,TETUÁN,0,0,1
2,2,0,0,0,0,1,1,0,2,1,433428.0,4477863.0,MONCLOA-ARAVACA,0,0,1
1,0,1,0,0,0,0,1,1,0,1,448799.0,4475453.0,SAN BLAS-CANILLEJAS,0,0,1
4,4,0,0,0,0,0,4,4,0,2,448590.0,4482446.0,HORTALEZA,0,0,0
1,0,0,1,0,0,0,1,0,1,2,439438.0,4472028.0,CARABANCHEL,0,0,1
3,3,0,0,0,0,0,3,1,2,2,444202.0,4470107.0,PUENTE DE VALLECAS,1,0,1
2,1,1,0,0,0,0,2,1,1,2,449277.0,4472861.0,VICÁLVARO,0,0,0
2,2,0,0,0,0,1,1,1,1,0,451839.0,4473322.0,VICÁLVARO,0,0,1
2,1,1,0,0,0,0,2,1,1,1,441801.0,4467248.0,VILLAVERDE,1,0,1
1,0,0,1,0,0,0,1,1,0,1,441720.0,4471220.0,ARGANZUELA,0,0,1
2,2,0,0,0,0,0,2,1,1,0,440965.0,4470156.0,USERA,0,0,1
2,1,0,1,0,0,0,2,2,0,0,443677.0,4475741.0,SALAMANCA,0,0,1
3,2,1,0,0,0,0,3,1,2,0,444570.0,4472806.0,PUENTE DE VALLECAS,1,0,1
2,2,0,0,0,0,0,2,2,0,0,436035.0,4468808.0,CARABANCHEL,0,0,1
1,1,0,0,0,0,0,1,1,0,0,438880.0,4474621.0,MONCLOA-ARAVACA,0,0,1
1,0,0,0,1,0,0,1,1,0,0,441114.0,4473199.0,CENTRO,0,0,1
4,4,0,0,0,0,0,4,4,0,2,439276.0,4467938.0,VILLAVERDE,1,0,1
2,2,0,0,0,0,0,2,1,1,0,441781.0,4476415.0,SALAMANCA,1,0,0
1,1,0,0,0,0,0,1,1,0,0,445592.0,4473455.0,MORATALAZ,1,0,0
2,2,0,0,0,0,0,2,2,0,0,443079.0,4470684.0,PUENTE DE VALLECAS,1,0,0
1,1,0,0,0,0,0,1,1,0,1,445402.0,4469106.0,VILLA DE VALLECAS,0,0,0
4,4,0,0,0,0,0,4,2,2,0,439132.0,4473466.0,ARGANZUELA,0,0,0
3,3,0,0,0,0,0,3,2,1,0,439746.0,4472561.0,ARGANZUELA,0,0,0
1,1,0,0,0,0,0,1,1,0,2,443801.0,4478160.0,CIUDAD LINEAL,0,0,0
1,1,0,0,0,0,0,1,1,0,0,440286.0,4481899.0,FUENCARRAL-EL PARDO,0,0,0
2,1,0,1,0,0,0,2,2,0,2,437784.0,4470932.0,CARABANCHEL,0,0,0
4,4,0,0,0,0,0,4,2,2,0,435341.0,4470854.0,LATINA,1,0,0
3,2,1,0,0,0,0,3,3,0,2,441105.0,4476769.0,CHAMBERÍ,0,0,1
1,1,0,0,0,0,0,1,1,0,0,447073.0,4474591.0,SAN BLAS-CANILLEJAS,0,0,0
2,2,0,0,0,0,0,2,2,0,0,439907.0,4474057.0,CENTRO,0,0,0
2,1,1,0,0,0,0,2,1,1,0,442564.0,4478482.0,CHAMARTÍN,0,0,0
5,5,0,0,0,0,0,5,1,4,2,437650.0,4473344.0,LATINA,0,0,0
3,2,1,0,0,0,0,3,1,2,2,438561.0,4480657.0,FUENCARRAL-EL PARDO,0,0,0
2,2,0,0,0,0,0,2,1,1,0,442660.0,4473181.0,RETIRO,0,0,0
2,1,0,0,0,1,0,2,2,0,0,450691.0,4480334.0,BARAJAS,0,0,0
3,1,0,0,0,2,0,3,1,2,0,445721.0,4475047.0,CIUDAD LINEAL,0,0,0
4,4,0,0,0,0,0,4,2,2,2,440158.0,4471918.0,ARGANZUELA,0,0,0
2,1,1,0,0,0,0,2,2,0,2,444199.0,4473262.0,MORATALAZ,0,0,0
2,2,0,0,0,0,0,2,1,1,0,439746.0,4480126.0,TETUÁN,0,0,0
1,1,0,0,0,0,0,1,1,0,0,440581.0,4470011.0,USERA,0,0,0
1,0,0,0,0,1,0,1,1,0,0,443423.0,4475948.0,SALAMANCA,1,0,1
2,2,0,0,0,0,1,1,2,0,2,440647.0,4478301.0,TETUÁN,0,0,0
3,3,0,0,0,0,0,3,2,1,2,438055.0,4477216.0,MONCLOA-ARAVACA,0,0,0
9,9,0,0,0,0,0,9,3,6,0,442352.0,4471240.0,PUENTE DE VALLECAS,0,0,0
1,1,0,0,0,0,0,1,1,0,0,444657.0,4473231.0,MORATALAZ,0,0,0
4,4,0,0,0,0,0,4,4,0,0,444336.0,4477482.0,CIUDAD LINEAL,0,0,0
2,2,0,0,0,0,0,2,2,0,0,439990.0,4474750.0,CENTRO,0,0,0
1,1,0,0,0,0,0,1,1,0,0,441115.0,4479716.0,TETUÁN,0,0,0
2,2,0,0,0,0,1,1,2,0,0,442309.0,4465647.0,VILLAVERDE,1,0,0
2,2,0,0,0,0,0,2,2,0,0,442666.0,4474992.0,SALAMANCA,0,0,1
2,2,0,0,0,0,0,2,1,1,0,442739.0,4471421.0,PUENTE DE VALLECAS,0,0,1
2,2,0,0,0,0,0,2,1,1,0,441101.0,4481983.0,FUENCARRAL-EL PARDO,0,0,0
1,1,0,0,0,0,0,1,1,0,0,433732.0,4478962.0,MONCLOA-ARAVACA,0,0,0
1,0,1,0,0,0,0,1,1,0,1,442754.0,4475693.0,SALAMANCA,0,0,1
1,1,0,0,0,0,0,1,1,0,0,444058.0,4468715.0,VILLA DE VALLECAS,0,0,0
2,2,0,0,0,0,1,1,0,2,2,437100.0,4470768.0,CARABANCHEL,0,0,0
2,1,0,0,1,0,0,2,2,0,0,451191.0,4478055.0,BARAJAS,0,0,0
2,2,0,0,0,0,0,2,1,1,0,439157.0,4480524.0,FUENCARRAL-EL PARDO,0,0,0
2,2,0,0,0,0,0,2,2,0,2,440383.0,4472807.0,ARGANZUELA,0,0,0
